,Ano,Mes,DeptoOrigen,CantidadUnidades,ValorMilespesos,Toneladas,date
156,2012,Dec,Antioquia,5982719,57272984,5983,Dec 2012
157,2012,Dec,Bogota,1914748,14554707,1915,Dec 2012
158,2012,Dec,Caldas,8074668,68106060,8075,Dec 2012
159,2012,Dec,Quindio,2779742,19563327,2780,Dec 2012
160,2012,Dec,Risaralda,6870210,49014168,6870,Dec 2012
161,2012,Dec,Tolima,1505341,12575034,1505,Dec 2012
162,2012,Jan,Antioquia,4862048,61627094,4862,Jan 2012
163,2012,Jan,Bogota,3010491,32897436,3011,Jan 2012
164,2012,Jan,Caldas,6219996,72522817,6220,Jan 2012
165,2012,Jan,Quindio,3814598,42591560,3815,Jan 2012
166,2012,Jan,Risaralda,5186636,54336340,5187,Jan 2012
167,2012,Jan,Tolima,2491380,28721273,2491,Jan 2012
168,2012,Feb,Antioquia,6485283,72790152,6485,Feb 2012
169,2012,Feb,Bogota,3412816,34428300,3413,Feb 2012
170,2012,Feb,Caldas,4567553,57940115,4568,Feb 2012
171,2012,Feb,Quindio,2007410,19789144,2007,Feb 2012
172,2012,Feb,Risaralda,5016110,49496117,5016,Feb 2012
173,2012,Feb,Tolima,2493222,26812381,2493,Feb 2012
174,2012,Jul,Antioquia,2966681,38197761,2967,Jul 2012
175,2012,Jul,Bogota,2823902,23688727,2824,Jul 2012
176,2012,Jul,Caldas,5613326,57832083,5613,Jul 2012
177,2012,Jul,Quindio,2528666,20518591,2529,Jul 2012
178,2012,Jul,Risaralda,6924663,55683348,6925,Jul 2012
179,2012,Jul,Tolima,3560818,30416217,3561,Jul 2012
180,2012,Jun,Antioquia,4452329,49890483,4452,Jun 2012
181,2012,Jun,Bogota,2086076,17744924,2086,Jun 2012
182,2012,Jun,Caldas,6475648,71623888,6476,Jun 2012
183,2012,Jun,Quindio,3234443,27571650,3234,Jun 2012
184,2012,Jun,Risaralda,6268642,52744587,6269,Jun 2012
185,2012,Jun,Tolima,4587370,41943800,4587,Jun 2012
186,2012,Mar,Antioquia,6620153,76056023,6620,Mar 2012
187,2012,Mar,Bogota,2896899,27736688,2897,Mar 2012
188,2012,Mar,Caldas,6118345,72194650,6118,Mar 2012
189,2012,Mar,Quindio,3351911,31509603,3352,Mar 2012
190,2012,Mar,Risaralda,5186753,50258937,5187,Mar 2012
191,2012,Mar,Tolima,2252566,23583644,2253,Mar 2012
192,2012,May,Antioquia,4105860,50575340,4106,May 2012
193,2012,May,Bogota,2596197,23221075,2596,May 2012
